Name,ID
Jonathan Ashwell,['ur.01306576276.19']
Bruce Beutler,['ur.01341052376.68']
David Bushinsky,['ur.01316247023.50']
Mario Chojkier,['ur.0102123415.07']
Charles Czeisler,['ur.0707242143.09']
Clark Distelhorst,['ur.01154550601.10']
Subhash Kukreja,['ur.01062534762.61']
Joseph Majzoub,['ur.0765421661.26']
Cary Mariash,['ur.01221232163.40']
Robert Meenan,['ur.01307516763.51']
Reed Pyeritz,['ur.0744465762.69']
Alvin Schmaier,['ur.014144017545.24']
II Thomas,['ur.0623262740.47']
Eric Topol,['ur.0731336524.18']
Robert Califf,['ur.01042151240.70']
Lawrence Samelson,['ur.0772355732.83']
Carmen Allegra,['ur.0736106170.33']
Akhil Bidani,['ur.01064433422.44']
Gordon Ginder,['ur.0752765456.96']
Michael Goligorsky,['ur.01214375371.45']
Yusuf Hannun,['ur.0706130231.54']
Anne Klibanski,['ur.0630661505.97']
Richard Kolesnick,['ur.01277724577.12']
Theodore Krontiris,['ur.0647545076.53']
Jeffrey Leiden,['ur.0600436375.25']
John Lollar,['ur.0602664374.19']
York Miller,['ur.0600050640.33']
Chikao Morimoto,['ur.01257751664.41']
Mortimer Poncz,['ur.011401601037.34']
Lanny Rosenwasser,['ur.01156200275.54']
Julian Solway,['ur.0616357771.60']
Joel Taurog,['ur.0615524341.08']
Petros Tsipouras,['ur.01351762701.50']
Carl-Wilhelm Vogel,['ur.0611137240.46']
Janis Abkowitz,['ur.07365743047.65']
Marilyn Telen,['ur.0741177060.19']
Andres Blei,['ur.01236756320.61']
Allan Detsky,['ur.016210700061.88']
Francisco Gonzalez-Scarano,['ur.0102251521.31']
Frederick Gorelick,['ur.01114017073.53']
Carl June,['ur.014235534277.63']
Dennis Klinman,['ur.01252416533.07']
Neil Reiner,['ur.01335247766.01']
Victor Schuster,['ur.010707121234.89']
Harry Shamoon,['ur.0623351271.28']
Elizabeth Nabel,['ur.01065024137.49']
William Nauseef,['ur.0651332106.96']
Perumal Thiagarajan,['ur.01165200501.93']
Mark Zeidel,['ur.01340412425.56']
Bradley Britigan,['ur.0720013116.88']
George Caughey,['ur.0731571070.25']
Israel Charo,['ur.016337611277.13']
Arthur Gutierrez-Hartmann,['ur.01007263401.00']
V. Holers,['ur.01364413472.54']
John Kehrl,['ur.010416624237.26']
Daniel Rotrosen,['ur.01006031751.08']
Steven Shoelson,['ur.01021130270.20']
Gregory Vercellotti,['ur.015676236177.39']
Katherine Hajjar,['ur.01320571066.70']
Jeff Sands,['ur.01112411132.31']
Elliot Androphy,['ur.0706401556.06']
Barbara Ballermann,['ur.0630632272.79']
Luiz Belardinelli,['ur.01016751310.55']
Peter Bitterman,['ur.01133367346.77']
Karol Bomsztyk,['ur.0611642544.54']
John Cowdery,['ur.01040621322.83']
Jörg Goronzy,['ur.01025271203.51']
Richard Granstein,['ur.066402533.95']
Lisa Iezzoni,['ur.0716700712.01']
Seigo Izumo,['ur.01236367336.23']
Donald Kohan,['ur.01202645067.18']
Alan Krensky,['ur.01322023063.43']
Elias Lianos,['ur.01076655475.08']
Charles Natanson,['ur.0652122055.36']
Michael Selsted,['ur.015352363614.30']
James Shayman,['ur.01300670354.66']
Steven Spitalnik,['ur.0630221300.13']
Mary Sunday,['ur.01050616075.82']
Larry Tobacman,['ur.01372654133.72']
Dale Umetsu,['ur.0626116504.78']
Cornelia Weyand,['ur.016037521777.49']
Jay Zweier,['ur.014544026677.21']
Karl Nath,['ur.0621613670.95']
Bishr Omary,['ur.014730211054.29']
Fuad Ziyadeh,['ur.0761676730.05']
Peter Arvan,['ur.01002760245.88']
Webster Cavenee,['ur.012740223223.69']
Fabio Cominelli,['ur.0620555626.93']
Mary Dinauer,['ur.0651722340.16']
Samuel Hawgood,['ur.013155066547.55']
Brian Kobilka,['ur.01107022045.13']
Howard Lippton,['ur.01236526331.24']
Sanford Markowitz,['ur.015750001717.89']
Thomas Pallone,['ur.01122016026.09']
William Petri Jr.,['ur.012610556027.35']
Peter St. George-Hyslop,['ur.01272213066.16']
Jonathan Stamler,['ur.0673753523.71']
Laurence Turka,['ur.01315400021.90']
Stephen Wank,['ur.01014762776.19']
Fredric Wondisford,['ur.0575545206.08']
Troyen Brennan,['ur.01331435353.26']
Richard Bucala,['ur.013151720017.63']
Phillip Chance,['ur.01224060372.64']
John DiPersio,['ur.0755514036.46']
Lee Helman,['ur.01051423553.47']
Harald Jüppner,['ur.0106121602.29']
Thomas Kleyman,['ur.01134462774.93']
Gary Koretzky,['ur.01325632021.52']
Joan Kreiss,['ur.0727765034.53']
Laurence McMahon,['ur.012104761257.50']
Westley Reeves,['ur.015510134432.24']
Barrett Rollins,['ur.01322200237.75']
Robert Star,['ur.0706001031.03']
CY Stein,['ur.011234664717.69']
Mary Tinetti,['ur.0621050500.59']
Peter Igarashi,['ur.01207143557.99']
Sally Radovick,['ur.01345726370.58']
Virginia Broudy,['ur.01176653602.55']
Sherin Devaskar,['ur.01030214547.07']
Robert Doms,['ur.0726513326.02']
Pascal Goldschmidt-Clermont,['ur.01115362635.66']
Douglas Golenbock,['ur.01246314570.56']
Razelle Kurzrock,['ur.0772022470.64']
Stephen Meltzer,['ur.01033746104.09']
Mark Musen,['ur.01356117464.07']
Stephen Nimer,['ur.0657552271.41']
Dwain Thiele,['ur.01272072077.09']
Hagop Youssoufian,['ur.0643440511.18']
Ferric Fang,['ur.01121315670.74']
Donald Landry,['ur.0646271436.68']
Michael Parmacek,['ur.01234756730.32']
Wadie Bahou,['ur.01344055300.40']
Roberto Civitelli,['ur.0754007721.11']
Terence Dermody,['ur.01372314464.01']
Erol Fikrig,['ur.01312272166.40']
Alfred George Jr.,['ur.07420031403.62']
Richard Kitsis,['ur.01175742446.56']
Alan Kopin,['ur.01342231200.09']
Juanita Merchant,['ur.01200341421.80']
Ori Rotstein,['ur.01361663050.08']
Mark Schlissel,['ur.0654100716.33']
Robert Seder,['ur.0704216004.06']
Stefan Somlo,['ur.0613627742.50']
Howard Worman,['ur.01037567300.85']
Wafik El-Deiry,['ur.01320537310.58']
Robert Farese Jr.,['ur.010616253707.83']
Andrew Karaplis,['ur.0622300504.22']
Richard Koup,['ur.01240331671.16']
Donna Mancini,['ur.01260056524.04']
Paul McCray Jr.,['ur.012736403121.07']
Michel Nussenzweig,['ur.0747627025.50']
Marc Reitman,['ur.0754355623.51']
Marschall Runge,['ur.01221036340.24']
Clay Semenkovich,['ur.0753760235.39']
Philip Shaul,['ur.015253471557.49']
Virend Somers,['ur.01004656642.21']
Raymond Warrell,['ur.01311602010.22']
George Yancopoulos,['ur.01274702531.47']
Jonathan Barasch,['ur.0634104106.31']
David Virshup,['ur.01257716635.83']
Mone Zaidi,['ur.01033627435.43']
Mario Capecchi,['ur.0612270466.89']
Timothy Cover,['ur.0755340136.89']
Linda Demer,['ur.01275466263.45']
Iswar Hariharan,['ur.0612735026.41']
Kirk Knowlton,['ur.01321112106.55']
Larry Moreland,['ur.01164505111.49']
William Skach,['ur.0603523346.14']
Francis Spinale,['ur.0612643232.34']
Jerry Vockley,['ur.01172556164.02']
Per Westermark,['ur.01006211233.89']
Jeffrey Balser,['ur.01107664536.85']
Lionel Ivashkiv,['ur.01340413302.95']
David Nanus,['ur.0666217770.24']
Allan Brasier,['ur.0641133151.51']
Ethel Cesarman,['ur.010354631757.33']
Augustine Choi,['ur.014051624337.94']
Michael Donnenberg,['ur.01201060406.46']
Serpil Erzurum,['ur.01307127066.72']
Glenn Fishman,['ur.0757734310.99']
David Harlan,['ur.01107602660.28']
Stella Kourembanas,['ur.01113441707.90']
Jonathan Kurie,['ur.015150666017.55']
Jonathan Licht,['ur.0660223576.18']
MacRae Linton,['ur.01326031522.43']
Keith McCrae,['ur.0657530756.17']
Orson Moe,['ur.01002056472.36']
Lloyd Cantley,['ur.012165654677.03']
Fadi Lakkis,['ur.01250743131.99']
William Bishai,['ur.0624476515.28']
Peter Carmeliet,['ur.01033041553.19']
Lewis Chodosh,['ur.01027647073.78']
Marie Demay,['ur.01260410553.34']
Jennifer Grandis,['ur.01201503470.99']
Charles Lowenstein,['ur.010106671017.42']
Anne Moscona,['ur.0643475446.79']
Warren Pear,['ur.01116244651.73']
David Pellman,['ur.01156360632.48']
Anthony Wynshaw-Boris,['ur.01312427622.05']
John Wysolmerski,['ur.0614453416.31']
Christopher Karp,['ur.01225126262.18']
Wadih Arap,['ur.013303034437.60']
Serdar Bulun,['ur.0641515534.52']
Bruce Conklin,['ur.01333157723.84']
Kenneth Freedberg,['ur.01007601275.21']
Joseph Heitman,['ur.01125225044.68']
Larry Kwak,['ur.012503557017.43']
Louis Luttrell,['ur.012561325357.16']
Louis Muglia,['ur.014754421537.43']
Peter Mundel,['ur.01040233763.03']
Ellis Neufeld,['ur.01017443554.56']
Douglas Nixon,['ur.012521445402.96']
Ariel Pablos-Mendez,['ur.0604100243.29']
Richard Quigg,['ur.0635763137.76']
Theodore Standiford,['ur.015014473357.17']
Luc Teyton,['ur.0715310154.73']
Andrew Blauvelt,['ur.01317345752.47']
Fabio Candotti,['ur.01114542411.82']
Preet Chaudhary,['ur.015264075137.21']
Maripat Corr,['ur.010600637157.24']
Phyllis Dennery,['ur.01277365703.50']
Mary Disis,['ur.01165771723.17']
Glenn Dranoff,['ur.01002076313.06']
Samir El-Dahr,['ur.01211742755.37']
Paul Frenette,['ur.016616142042.21']
I-Cheng Ho,['ur.0764577653.99']
Clay Marsh,['ur.01067422171.15']
Jorge Plutzky,['ur.01146472616.47']
Theodora Ross,['ur.01033070736.59']
Barry Sleckman,['ur.01115412332.53']
Dwight Towler,['ur.011122213674.07']
Flordeliza Villanueva,['ur.0606520215.55']
Rexford Ahima,['ur.01317072404.15']
Crystal Mackall,['ur.0644163123.96']
Carol Mangione,['ur.0703105717.40']
Rhoda Alani,['ur.0744431504.68']
José Baselga,['ur.01063677263.55']
Tamara Doering,['ur.01313356712.60']
Daniel Eitzman,['ur.0707347445.42']
Elizabeth Henske,['ur.01244765354.89']
Alp Ikizler,['ur.01210642425.39']
Hans-Peter Kiem,['ur.01350411276.47']
Sharon Moe,['ur.01205600534.26']
Kelle Moley,['ur.01203460064.68']
Alessandra Pernis,['ur.01366200252.53']
Kenneth Pienta,['ur.013271155377.15']
Ernestina Schipani,['ur.01110701370.06']
Ramesh Shivdasani,['ur.0666246216.28']
Andrea Todisco,['ur.01236772504.97']
Pier Pandolfi,['ur.01355745464.73']
Susan Quaggin,['ur.01065272160.75']
Joseph Zabner,['ur.0715343137.38']
George Gittes,['ur.01307216424.37']
Julie Saba,['ur.01352644654.67']
Shanthi Sitaraman,['ur.014245472677.03']
John Spertus,['ur.01212501203.03']
Kai Wucherpfennig,['ur.01342205752.62']
Jayakrishna Ambati,['ur.0733426416.91']
George Cotsarelis,['ur.0665451323.77']
Kenneth Covinsky,['ur.015415235177.37']
David Engman,['ur.01112672004.80']
John Frangioni,['ur.01153672301.91']
Tejvir Khurana,['ur.014505252207.17']
Fadlo Khuri,['ur.01057764272.14']
Christos Mantzoros,['ur.014006214657.80']
Scott Plevy,['ur.0605173564.47']
Chaim Putterman,['ur.01121735072.06']
Doris Stoffers,['ur.01205103105.56']
Marcus Altfeld,['ur.01235116353.64']
Frank Anania,['ur.0730304123.13']
Gerard Blobe,['ur.0754271650.99']
Ivan Fuss,['ur.01025737641.97']
Sanjiv Gambhir,['ur.0616337446.39']
Steve Georas,['ur.01266174106.03']
Michael Girardi,['ur.01143314231.31']
Todd Golub,['ur.01152644406.14']
Robert Heuckeroth,['ur.01365052013.37']
Pasi Janne,['ur.0767133752.11']
Igor Koralnik,['ur.01342420117.42']
Barry Paw,['ur.01372633162.92']
Warren Shlomchik,['ur.0633511062.24']
Chloe Thio,['ur.01244336023.55']
Kevin Volpp,['ur.01121642400.62']
Dan Barouch,['ur.0644324362.10']
David Hackam,['ur.016365175357.79']
Rulan Parekh,['ur.0637647532.17']
Murat Arcasoy,['ur.01365700023.08']
Valder Arruda,['ur.01035106403.91']
Phillip Febbo,['ur.01031472200.54']
Tina Hartert,['ur.01145642531.34']
JeanMarie Houghton,['ur.014652421020.78']
Samir Khleif,['ur.01240104744.46']
Keith March,['ur.0763046066.09']
Ari Melnick,['ur.01364576130.10']
Vamsi Mootha,['ur.01022252731.58']
Mary Patti,['ur.01236117732.88']
Stephanie Seminara,['ur.01026162025.21']
John Stamatoyannopoulos,['ur.01107035267.40']
Sapna Syngal,['ur.01351357352.20']
Michael Tomasson,['ur.0707031611.51']
Hensin Tsao,['ur.0656033046.08']
Omaida Velazquez,['ur.0615376463.10']
Feroz Papa,['ur.01147037443.33']
Loren Walensky,['ur.01324277771.74']
Ernesto Bernal-Mizrachi,['ur.01101102662.02']
Catherine Bollard,['ur.01125327571.07']
Russ Carstens,['ur.011070650007.71']
Juan Celedón,['ur.01210111627.99']
Charleen Chu,['ur.07665720167.12']
Jonathan Dranoff,['ur.0703642674.64']
Charles Esmon,['ur.01065507416.27']
Nikolaos Frangogiannis,['ur.01255200715.86']
Maura Gillison,['ur.01106271435.77']
Paul Goepfert,['ur.0625272302.13']
Laura Haneline,['ur.0711517452.48']
Tzung Hsiai,['ur.01134672503.93']
Terrie Inder,['ur.0620674221.66']
Bjorn Knollmann,['ur.015045506007.80']
Gary Luker,['ur.0727657075.71']
Mehrdad Matloubian,['ur.0772745010.90']
Franck Mauvais-Jarvis,['ur.0703373116.16']
Raghavendra Mirmira,['ur.0762775110.66']
Lucila Ohno-Machado,['ur.01143047214.87']
Jordan Orange,['ur.0774334672.45']
Muredach Reilly,['ur.013551442357.17']
Constantine Stratakis,['ur.011151216517.08']
Andrew Alspaugh,['ur.014045614114.05']
Kenneth Ataga,['ur.01220231147.23']
James Bradner,['ur.01002551055.27']
Jen-Tsan Chi,['ur.0746365402.76']
Kojo Elenitoba-Johnson,['ur.0654674363.79']
Evanthia Galanis,['ur.014046757077.00']
Terrence Geiger,['ur.01371420370.01']
Michael Kapiloff,['ur.01000532205.19']
Nancy Keating,['ur.01104417227.04']
Darrell Kotton,['ur.01156612166.12']
Christopher Landrigan,['ur.01122604435.71']
Theresa Lu,['ur.01171122331.16']
William Matsui,['ur.01302741605.47']
Flora Sam,['ur.0730324566.85']
Anath Shalev,['ur.01174747033.45']
David Solit,['ur.0656335277.50']
Katalin Susztak,['ur.0732415023.51']
Eric Sweet-Cordero,['ur.01057154336.23']
Joshua Thurman,['ur.011250753545.99']
Xander Wehrens,['ur.0734467474.24']
John Wemmie,['ur.0721745324.62']
Michelle Winn,['ur.0654140477.41']
James Zimring,['ur.0635217446.08']
Rochelle Walensky,['ur.0723304767.87']
Brian Zuckerbraun,['ur.01025663232.84']
Joel Blankson,['ur.0661712365.40']
Jorge Di Paola,['ur.01333402326.06']
Adolfo Ferrando,['ur.0715007174.81']
Keith Flaherty,['ur.01365026210.96']
Jaime Grutzendler,['ur.01313314270.12']
Chyi-Song Hsieh,['ur.011447535552.01']
Ola Landgren,['ur.0651746766.54']
Jonathan Maltzman,['ur.01235523737.30']
Kieren Mather,['ur.01057653066.21']
Hidayatullah Munshi,['ur.01242536354.02']
Nuria Pastor-Soler,['ur.01307642610.92']
Amanda Paulovich,['ur.01262142655.23']
Irina Petrache,['ur.0755302003.05']
Marc Sabatine,['ur.01367356600.00']
Dorry Segev,['ur.01217305616.11']
Michael Shlipak,['ur.013125514737.99']
Fayyaz Sutterwala,['ur.01206027610.86']
Lorraine Ware,['ur.01305004322.38']
